set,combination,num_sensors,top_k,lambda_opt,accuracy
test,1-2-3-4-5-6-7,7,10,0.1,15.25
test,1-2-3-4-5-6-7,7,100,100.0,29.75
test,1-2-3-4-5-6-7,7,1000,10000.0,32.75
test,1-2-3-4-5-6-7,7,10000,10000.0,34.75
test,1-2-3-4-5-6-7,7,1500,10000.0,33.25
test,1-2-3-4-5-6-7,7,20,100.0,20.25
test,1-2-3-4-5-6-7,7,200,100.0,29.25
test,1-2-3-4-5-6-7,7,2000,10000.0,33.0
test,1-2-3-4-5-6-7,7,300,1000.0,32.0
test,1-2-3-4-5-6-7,7,3000,10000.0,32.5
test,1-2-3-4-5-6-7,7,400,1000.0,33.75
test,1-2-3-4-5-6-7,7,4000,10000.0,32.5
test,1-2-3-4-5-6-7,7,50,100.0,27.250000000000004
test,1-2-3-4-5-6-7,7,500,1000.0,33.0
test,1-2-3-4-5-6-7,7,5000,10000.0,32.75
test,1-2-3-4-5-6-7,7,600,10000.0,34.0
test,1-2-3-4-5-6-7,7,700,1000.0,31.5
test,1-2-3-4-5-6-7,7,800,10000.0,33.25
test,1-2-3-4-5-6-7,7,900,10000.0,33.0
test,1-2-3,3,10,0.001,11.75
test,1-2-3,3,100,1000.0,29.5
test,1-2-3,3,1000,10000.0,32.5
test,1-2-3,3,10000,10000.0,32.0
test,1-2-3,3,1500,10000.0,33.75
test,1-2-3,3,20,1000.0,17.5
test,1-2-3,3,200,1000.0,30.0
test,1-2-3,3,2000,10000.0,33.0
test,1-2-3,3,300,10000.0,32.25
test,1-2-3,3,3000,10000.0,33.0
test,1-2-3,3,400,10000.0,33.5
test,1-2-3,3,4000,10000.0,32.5
test,1-2-3,3,50,0.1,25.75
test,1-2-3,3,500,10000.0,34.5
test,1-2-3,3,5000,10000.0,32.0
test,1-2-3,3,600,10000.0,33.0
test,1-2-3,3,700,10000.0,32.5
test,1-2-3,3,800,10000.0,32.0
test,1-2-3,3,900,10000.0,32.75
test,1-2-4,3,10,0.01,13.5
test,1-2-4,3,100,1000.0,29.75
test,1-2-4,3,1000,10000.0,33.25
test,1-2-4,3,10000,10000.0,32.5
test,1-2-4,3,1500,10000.0,33.0
test,1-2-4,3,20,1000.0,17.75
test,1-2-4,3,200,1000.0,30.5
test,1-2-4,3,2000,10000.0,33.75
test,1-2-4,3,300,10000.0,32.5
test,1-2-4,3,3000,10000.0,33.25
