n_features,lambda,accuracy,f1,precision,recall,train_accuracy
1184,763671.3802665278,0.368220742150333,0.34863937960793495,0.5281362378948196,0.3681109165063799,0.37428639391056134
4983,1146.5819160190424,0.69790675547098,0.6936214332180279,0.7188252487990523,0.6949725224060452,0.9205518553758325
841,4.620054903349863,0.615604186489058,0.6152949720967741,0.6402068327131285,0.6141686526945196,0.7126546146527117
1940,1.0058048211068778e-05,0.5818268315889629,0.5802274431355119,0.6122094576006241,0.5780329021819531,0.8264747859181731
792,364.12027344243035,0.621313035204567,0.6211018556963224,0.650507723569359,0.6195432680538666,0.7076593720266413
2010,7.871618346333947,0.5813510941960038,0.5800908452245477,0.6127175504063856,0.5777542272522898,0.8324215033301617
58,8.695258454829938,0.510941960038059,0.49338811911675534,0.5251586233084125,0.5066158513649432,0.5115366317792579
4546,0.001780137537996704,0.49429115128449097,0.48792930286753533,0.5016505559798022,0.49222682291002406,0.9627735490009515
1866,132.51722971704424,0.6065651760228354,0.603905776202134,0.6321604863592085,0.6024506564502653,0.8183872502378687
307,0.023776771245021536,0.5899143672692674,0.5841165615596025,0.6172760924006081,0.5875739646347377,0.6244053282588011
4816,155837.8614776479,0.6179828734538535,0.6142402525990114,0.673775506335372,0.6163980708370994,0.642721217887726
3474,3151.9889528748627,0.6893434823977165,0.6877809421003025,0.7158866760508539,0.6864176702991817,0.8471693625118935
3531,11491.124325457109,0.7050428163653664,0.7068364457206338,0.7381089339638067,0.701914182464728,0.7957897240723121
3680,9890.72374587048,0.7059942911512845,0.7071662071241873,0.7373594282054244,0.7030704196118345,0.80732635585157
3546,23302.074265462346,0.6907706945765937,0.6922877854880295,0.7294514759220422,0.687903650268433,0.7564224548049476
3545,21785.049760717862,0.6941008563273073,0.6960784120371792,0.7324826287192375,0.6911850988602366,0.7612987630827783
2859,0.2168643282791506,0.5466222645099905,0.5411990694042459,0.5637604188228662,0.5421217393576754,0.8887963843958135
4238,92.25902887327936,0.570884871550904,0.5638120489638114,0.5866393661020173,0.5663934999111174,0.9473120837297812
2733,16608.40559206129,0.6936251189343482,0.6951543308818018,0.7287327903698533,0.6919992525550892,0.7533301617507137
3923,424096.08629001415,0.5114176974310181,0.5010257833372105,0.5964680647648103,0.5102761956467586,0.5230732635585157
3082,0.18834762141527997,0.5318744053282588,0.5258640360239922,0.5484153083531338,0.5273892635483909,0.9000951474785919
4918,1319.4703504754325,0.7045670789724072,0.7011067628805696,0.7273719652135633,0.7019317563541885,0.913058991436727
4085,2152.214814585667,0.6941008563273073,0.6927475235378986,0.7219237279639679,0.6914930180392438,0.8774976213130352
4257,62696.434527656515,0.6722169362511894,0.6731105343873467,0.7187168832698116,0.6697285633723815,0.7033777354900095
3237,5043.049219293531,0.6998097050428164,0.7012646963481897,0.7302063464541806,0.6973688559177406,0.8239771646051379
2322,33.33098354705121,0.5727878211227403,0.5696671139507995,0.6001480409743929,0.5682300392703443,0.8553758325404377
4580,532.6605167468794,0.6627021883920076,0.6582185761022906,0.6837360156218081,0.6597100709929553,0.929115128449096
3683,9495.215701001658,0.7040913415794482,0.7055929140051125,0.7355348433716288,0.7013806488285164,0.8087535680304472
3910,113560.23664677207,0.6303520456707897,0.6287210023589566,0.6842995085047353,0.6288017956822868,0.6492626070409134
2472,686763.7167805438,0.4043767840152236,0.3908191502850923,0.5345663806451905,0.4048603625364605,0.4236441484300666
4523,992908.6599195178,0.39200761179828736,0.38381283777359015,0.5268095382459623,0.3947130302604553,0.41246431969552805
3666,5296.260984817513,0.70313986679353,0.7030232149605549,0.7316081481900983,0.7001172886150963,0.8333729781160799
3119,754.228730662279,0.6489058039961941,0.647643386781863,0.676442810165361,0.646867378786756,0.8720266412940058
4826,12827.551662419668,0.7188392007611798,0.7194667372479726,0.7520605935633785,0.7164007918638301,0.8214795432921027
4946,63648.27093224487,0.6803044719314938,0.6805336860174348,0.7263605040961794,0.6776808005006423,0.7184823977164605
4402,42.53722880566047,0.5485252140818269,0.5412670394820589,0.5580892478782289,0.5448868243826943,0.955756422454805
4785,325.68178753594685,0.6408182683158896,0.6380542891757655,0.6624258381602616,0.6383214286129214,0.9474310180780209
1548,1537.7172520055487,0.6588962892483349,0.6576956819736378,0.6875708956118498,0.6563713077584252,0.7754519505233112
4965,0.6166497078135145,0.4771646051379638,0.4671393614235397,0.4805003277271644,0.4740050193578439,0.9772835394862036
4128,2.3725385370503735e-05,0.5161750713606089,0.5075787210459592,0.5284360155906755,0.5110740722785476,0.9462416745956232
4678,13.562293343275087,0.5095147478591817,0.5008386713636024,0.515075533581572,0.5065578283442145,0.9653901046622264
3940,11139.791644320114,0.7102759276879163,0.7113838587223995,0.7429827569907206,0.7071436213919471,0.8092293054234063
3889,192864.12248627265,0.588011417697431,0.582913451149456,0.6553482269759244,0.5869172054251386,0.6060894386298763
4389,28156.65366324324,0.6931493815413892,0.6942043158218254,0.7311272989155606,0.6910795928735334,0.7633206470028544
3370,307.38749097576,0.6175071360608944,0.6164071999988627,0.6463555764714959,0.6140171161887112,0.8991436726926736
3909,1597.6812197312092,0.6817316841103711,0.6796967342590345,0.7075098148134694,0.6790747847399138,0.8801141769743102
2929,6432.736291814837,0.7026641294005709,0.7043512931336288,0.7370357822050123,0.699808078022039,0.8037583254043768
4705,222526.44139260234,0.5946717411988582,0.5891017496530291,0.6562840006786397,0.5945739764781189,0.6081113225499524
4404,39787.86628283456,0.6807802093244529,0.6813207526872747,0.7213712091447027,0.6783703373224517,0.7396527117031398
3738,163.90782826664656,0.5884871550903901,0.5827474551620161,0.609691427381775,0.584285015749985,0.9231684110371076
4992,11036.594777004273,0.7269267364414843,0.7268692864236481,0.7575485321564428,0.7242799651472309,0.8332540437678402
4980,10175.825131806243,0.7245480494766888,0.7239542816510409,0.7540180393192084,0.7214379161089166,0.838011417697431
4747,12908.377239285568,0.7202664129400571,0.7216507301828043,0.7542079293382081,0.7179766796384085,0.818744053282588
4992,11015.677288704419,0.7269267364414843,0.7268692864236481,0.7575485321564428,0.7242799651472309,0.8334919124643198
4760,91437.68706984635,0.6560418648905804,0.656735959136029,0.7098911255648043,0.6536080081778667,0.6858943862987631
4949,3034.3427772895175,0.7216936251189343,0.719079145185211,0.7474021709667735,0.71884751225102,0.8838011417697431
4985,2405.895275910725,0.7193149381541389,0.7164130132663713,0.7440075844542795,0.7164769288198246,0.8949809705042816
4972,3300.142446253595,0.7216936251189343,0.7199294944801758,0.7472845178824913,0.7190564009811483,0.8828496669838249
4563,0.003784513942015859,0.4904852521408183,0.48313938614044283,0.49728534926243195,0.4873090549054422,0.9631303520456708
4240,380888.02225178055,0.5290199809705043,0.5193087423172017,0.6098376620333484,0.528298913555636,0.5424595623215985
598,2.951562531645259,0.6060894386298763,0.6051788472717432,0.6328105866602398,0.6041918787278434,0.6808991436726927
4954,3073.0065972731286,0.7207421503330161,0.7184324057688437,0.7465381857767887,0.7180901605301537,0.8832064700285442
4626,4174.6331645658365,0.7169362511893435,0.7159709259366341,0.7446532170721535,0.7146919741142491,0.8667935299714558
4782,607.2037492575736,0.6646051379638439,0.6607431672647798,0.6884790612974874,0.6614943465712284,0.9337535680304472
4997,36438.86774763016,0.7007611798287345,0.701331747962507,0.7402244072195511,0.6986607407011869,0.7621313035204567
4417,138.90240704616008,0.5999048525214081,0.5932809206975206,0.6111203454826648,0.5967844009115826,0.9474310180780209
4800,3202.6333478965103,0.7121788772597526,0.7099619823438396,0.7379021448582647,0.7091534246976734,0.8784490960989534
4540,1015.2685712255704,0.6722169362511894,0.6682814861163273,0.6965007228050604,0.6698842500048408,0.9088962892483349
4900,19411.6141868758,0.7140818268315889,0.7144326532200346,0.7499377748855978,0.711607758960639,0.801617507136061
4696,56510.50124023895,0.6784015223596574,0.6790041833610198,0.7243816519368304,0.6759110106837235,0.7225261655566128
4116,6024.269237469488,0.7145575642245481,0.7147665226642091,0.7437096739102755,0.7122190677295194,0.840627973358706
4978,3538.884822293178,0.7240723120837298,0.7220899280279818,0.7504242351858122,0.7213634672038423,0.8801141769743102
4846,16559.970479595046,0.7193149381541389,0.7200809402551599,0.7535060603294873,0.7170395111279715,0.8082778306374881
4492,2847.6177588395235,0.7045670789724072,0.7022306310660016,0.730660735702263,0.7019149056010374,0.8757136060894386
4309,59.633900883652075,0.5509039010466222,0.5439844703558415,0.5649664865605651,0.5474272027741784,0.953615604186489
4631,1003.2869793823122,0.6798287345385348,0.6755473059416518,0.703033767441815,0.676784469969428,0.9100856327307326
5000,9548.0764940894,0.7283539486203615,0.7284796383121563,0.7582087493626827,0.7254205183745521,0.8424119885823026
4973,354.26737286603196,0.6512844909609895,0.6472989657033035,0.6682364142415876,0.6491380786325619,0.9526641294005709
4839,6539.796001999543,0.7264509990485252,0.7249379877919158,0.7527651433374025,0.7232418344631668,0.8560894386298763
1153,131482.49563410043,0.5366317792578497,0.5178307190268282,0.6273562506123768,0.5347811970594247,0.5448382492863939
4622,22758.513006272056,0.6993339676498572,0.7013141559384504,0.737200935294761,0.6974734356853881,0.782825880114177
4857,5853.1560116388855,0.7235965746907707,0.7219934679012351,0.7488518737123324,0.7206185897889352,0.8616793529971456
4859,7415.400675131423,0.7269267364414843,0.7258528327360934,0.7537906002045779,0.7239647765638624,0.8493101807802094
4832,6424.7510669643725,0.7269267364414843,0.7258956261399305,0.7535633902078986,0.7238973981856563,0.8565651760228354
4468,10577.270154778618,0.7155090390104663,0.7171896196464859,0.7474530353158374,0.7133920916573508,0.8212416745956232
4818,7505.649417568712,0.7302568981921979,0.7298429700519768,0.7583976368771193,0.7273158180320791,0.8477640342530923
4324,79528.38739313021,0.6584205518553758,0.6584850985148462,0.7070423106148712,0.6557077831855085,0.6867269267364415
4680,41474.87516820198,0.686964795432921,0.6875565263524874,0.7294399419166465,0.6848293551800384,0.7465509039010466
4838,363542.11799483077,0.5475737392959087,0.5392202309750106,0.6194724228188665,0.547040776709231,0.5631541389153187
4708,6644.708459655444,0.725499524262607,0.7254903176927654,0.7551688195798965,0.7231781467661441,0.8502616555661275
4160,7506.049280990907,0.7159847764034253,0.7172748663799282,0.7463529154921934,0.7139238907908123,0.832302568981922
4772,26541.275518481998,0.7050428163653664,0.7067096167650493,0.7445497952847914,0.7026782716268494,0.7774738344433872
2166,1817.003472823993,0.6722169362511894,0.6713562284765529,0.7002647636085793,0.6690085593793176,0.8141056137012369
4562,8615.376164635914,0.7183634633682208,0.719473318704948,0.7491271734922993,0.7162012312835812,0.8342055185537584
4863,642.0385168134701,0.6755470980019029,0.6712138053745054,0.6984461467054331,0.6723972866261494,0.9352997145575642
4723,16652.41969211546,0.7121788772597526,0.7135009060047242,0.7477028684120309,0.7100860990063038,0.806255946717412
4523,1717.1100843016939,0.6912464319695528,0.6888594493318031,0.7168030986424554,0.6887353033960333,0.8939105613701237
1707,54278.06057132591,0.6170313986679353,0.6113571447695817,0.6701482771635526,0.6153876627823086,0.6365366317792579
4859,205758.83855743395,0.6013320647002854,0.5963056006200447,0.6623148245215374,0.6007907248549877,0.6191722169362512
27,250.1470263156699,0.3915318744053283,0.32575049867962713,0.3902514611979596,0.38911390708851423,0.38653663177925784
4630,5418.134695482176,0.7212178877259753,0.7208411834885292,0.7478605927957512,0.7191058280096206,0.8554947668886774
4866,5833.552783762968,0.7269267364414843,0.7255562765803367,0.7524669595536437,0.7240397131596963,0.8612036156041865
4734,11546.276383880897,0.7188392007611798,0.7200465313710571,0.7528524329315863,0.716195935768725,0.8242150333016175
4873,29609.993707981946,0.7064700285442436,0.7072146964922796,0.7459659569046331,0.7042213270866295,0.7742626070409134
4424,3.9088942141671735e-05,0.5009514747859182,0.4926338318072184,0.5057292371098134,0.49767747556330216,0.9580161750713606
4999,1056.612882316239,0.6998097050428164,0.6945998567927348,0.7194266307097823,0.6966160898667851,0.9226926736441484
4661,4455.940645391929,0.7183634633682208,0.7174643404805677,0.7451035184941844,0.7160085850435345,0.865604186489058
4878,9416.56797515582,0.7259752616555661,0.7257929117292352,0.7559325406684726,0.7231680677458533,0.8389628924833492
4776,101815.45931630513,0.6508087535680305,0.6501105155324297,0.7040151709950131,0.6484979832894016,0.6784015223596574
4306,9841.521254495134,0.7126546146527117,0.7137072197226336,0.743444626559564,0.7101404947137373,0.8226688867745005
4896,19849.864805680787,0.7150333016175071,0.715687248020782,0.7515259068083318,0.7126352890186094,0.8007849666983825
4895,2017.6716345889674,0.7136060894386299,0.7100833087083838,0.7359591906978373,0.7106156220447145,0.8989058039961941
4582,4249.525092648548,0.7174119885823026,0.7165962194738482,0.7436880869212439,0.7149541105375918,0.865604186489058
4747,7132.957293832652,0.7283539486203615,0.7287036894923932,0.7582752913015078,0.725952716196932,0.8485965746907707
4722,7942.828469586005,0.725023786869648,0.7254953952384056,0.7553147456973099,0.7226479687097311,0.8427687916270219
4481,39845.66385335428,0.6850618458610847,0.6860030802205048,0.7269828701259883,0.6829519660113802,0.7423882017126546
