number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,state
0,0.6793529971455756,2025-10-28 14:45:35.047949,2025-10-28 17:09:01.606854,0 days 02:23:26.558905,0.06027174058518492,-0.19400087492835683,0.6897173888425785,0.8299824213861862,1.17278741802382,-0.21624987717543487,1.5594788800855501,0.9197922178462276,0.7156013150107265,0.9695366947583401,0.5214631749266352,0.917605790351696,0.2517400700470082,0.614517437967606,COMPLETE
1,0.6907706945765937,2025-10-28 17:09:02.065968,2025-10-28 19:34:09.247735,0 days 02:25:07.181767,0.035948902441170105,0.6001338917361205,-0.9544305818452989,0.8063171958752497,1.8240941655534573,1.7614944127225574,-0.5590349135485049,0.6135981487889243,0.25503367735459803,0.5226409622084758,0.5822943292333134,0.12913544220002182,0.5014578419128323,0.3601803554613917,COMPLETE
2,0.4367269267364415,2025-10-28 19:34:09.707614,2025-10-28 21:58:48.281735,0 days 02:24:38.574121,-1.29490287106923,-1.7584017708752846,-0.9496442783446657,-1.7635971314570935,-1.360585009277103,1.320913328632864,-1.892753435883741,0.32095447507597546,0.6578979952458763,0.18448940208258297,0.8931726181806104,0.1658835105413014,0.5387720445120041,0.6118988685586765,COMPLETE
3,0.46574690770694577,2025-10-28 21:58:48.715121,2025-10-29 00:23:14.455010,0 days 02:24:25.739889,0.982873903268489,0.14968926119261905,0.5225003759779261,1.346839736411804,-0.5739514552161427,-1.51307372140386,0.7802953639765153,0.6978743449661767,0.39630786003297125,0.41710498015427794,0.03559842119685361,0.7044962169587693,0.4590962424771094,0.13396569161077976,COMPLETE
4,0.29257849666983826,2025-10-29 00:23:14.851705,2025-10-29 02:47:53.174604,0 days 02:24:38.322899,-1.179941078982452,-1.311461711445911,-0.9928874788822277,-0.3788179488938779,0.3091245875112283,-1.6654590177957767,1.8164782674367865,0.9952553028361695,0.15819413948248556,0.36914597074759115,0.10998611417083896,0.31892826863415624,0.49834893767920424,0.6361557660040248,COMPLETE
5,0.3748810656517602,2025-10-29 02:47:53.669925,2025-10-29 05:17:17.074339,0 days 02:29:23.404414,0.5146813406780244,-1.5396987496562615,-1.9339834945519545,-0.7323906782957375,1.7074633388493106,-1.9986230314933664,0.7696328294470409,0.9224015658221769,0.3198780438066854,0.6116700841589411,0.9757247061910623,0.9408734342210602,0.7623768779048878,0.06457649484792755,COMPLETE
6,0.17126546146527116,2025-10-29 05:17:17.467918,2025-10-29 07:46:49.651438,0 days 02:29:32.183520,0.898791040310623,-0.5928778679175437,-0.833222864377209,-0.4918074526101637,1.5515191923984757,-0.5149703272485597,0.3984105548111452,0.29116281312355125,0.7127682957372611,0.07134123673944895,0.3807943030728294,0.7297471129185781,0.9122718740342892,0.6496866181092319,COMPLETE
7,0.708848715509039,2025-10-29 07:46:50.090253,2025-10-29 10:14:58.817701,0 days 02:28:08.727448,0.2518132591764499,1.3726881616282403,-1.3865325901220555,-1.6386743752464064,0.21041291120399652,-0.9901634537195516,0.5529913768431234,0.13863740805447872,0.5816692560476548,0.04242538017773423,0.1783056550574133,0.2291949176696927,0.28880067884966787,0.26358830761086327,COMPLETE
8,0.3981921979067555,2025-10-29 10:14:59.276843,2025-10-29 12:30:16.317464,0 days 02:15:17.040621,-1.7349049832927461,0.9172850449226919,-1.6905811613294608,1.298324238079707,-0.8562343002917157,-0.2261485720516112,-0.331082638115209,0.2885304521741611,0.01902896421352262,0.35165673642604217,0.37982483624392377,0.8986742957523063,0.13160748232476302,0.7385777868873974,COMPLETE
9,0.35394862036156044,2025-10-29 12:30:16.772563,2025-10-29 14:48:53.743911,0 days 02:18:36.971348,1.9572335198896966,-0.3802286419018839,-1.211545315554929,-0.18956279474308735,-0.4443649754026766,1.5215529689587766,1.4493831884615083,0.7788447918058525,0.5522221567811804,0.15736693256807302,0.7103634377649859,0.03169187324563989,0.295326836025803,0.33858050600394696,COMPLETE
10,0.4429115128449096,2025-10-29 14:48:54.341416,2025-10-29 16:40:13.548603,0 days 01:51:19.207187,-0.7612592399833837,1.88897456059814,1.6453773166548342,-1.7979691441954277,0.5169302163933912,0.696841279126309,-1.1254942435880448,0.025278899971844362,0.906543806243964,0.7579102470509602,0.22399026299019903,0.41426166178815826,0.06289781490670784,0.9872894241159804,COMPLETE
11,0.439581351094196,2025-10-29 16:40:14.070660,2025-10-29 18:47:10.773043,0 days 02:06:56.702383,-0.30398417320634796,1.183512733268936,0.02430741022071259,0.5714146328132459,-1.9110753790572663,-0.9565963293933564,-0.45460812350539836,0.5104855044916414,0.2990066777034667,0.6048287651838685,0.6321833640199858,0.22133697348592235,0.6578066170929009,0.3363720531170534,COMPLETE
12,0.6950523311132255,2025-10-29 18:47:11.225963,2025-10-29 20:51:09.422289,0 days 02:03:58.196326,0.08882440807774739,0.7860347027031517,-0.2176259519998467,-1.053399720698481,0.8093552314892656,0.4309965091807233,-0.9440799561733548,0.012517170885570528,0.4977636305619276,0.7895875713765718,0.315587058840023,0.05876424506257967,0.33067695181941037,0.31080130891213564,COMPLETE
13,0.7012369172216937,2025-10-29 20:51:09.805622,2025-10-29 22:37:41.179823,0 days 01:46:31.374201,1.5127661630726523,1.7628235272787238,-0.26151357867292646,-1.1524745234810978,0.8308330570603818,0.4621310431474299,-1.2946609169275451,0.01331548064211523,0.5025202449229281,0.870247650195763,0.2694577047443294,0.024474980301506244,0.28332602723783046,0.20716522120608738,COMPLETE
14,0.3796384395813511,2025-10-29 22:37:41.547748,2025-10-30 00:14:37.573441,0 days 01:36:56.025693,1.8297904851061955,1.9712397761607348,-0.10282548260002736,-1.511474751387325,0.02959115408697732,-0.9461098244993494,-1.8647321132226158,0.15858988895331477,0.8930940979747978,0.9985717658338935,0.18485515686057238,0.30475400574798894,0.1914414659632151,0.20182733646798737,COMPLETE
15,0.5195052331113226,2025-10-30 00:14:37.995177,2025-10-30 01:55:37.447051,0 days 01:40:59.451874,1.3477952824137953,1.506094521848858,1.4545334413305362,-1.193999244592635,0.9182777412934623,0.48499612801093267,0.14595358135127157,0.18044061412132867,0.5147615123122976,0.7734335191874891,0.26737963407123244,0.5140367706762577,0.015500439277552736,0.01751990245071397,COMPLETE
16,0.3725023786869648,2025-10-30 01:55:37.854188,2025-10-30 03:37:52.084097,0 days 01:42:14.229909,1.3722955399758716,1.4094964147981992,-1.5006277260519603,-1.9728096548778267,-0.13063166068221443,1.108780716896491,-1.3424016478221183,0.17111039829231545,0.6109525717189139,0.282836871819905,0.012284079586540736,0.47077422429022864,0.3524450781546518,0.4738155835124267,COMPLETE
17,0.39533777354900096,2025-10-30 03:37:52.555898,2025-10-30 05:19:26.071696,0 days 01:41:33.515798,0.4967072308592533,0.25621731068074494,-0.3056557444377115,-1.1164338908877396,1.1655911358123086,-0.869603753255878,0.9674779511043186,0.44672631627569975,0.7895932795396583,0.8431789562662135,0.4272234953624073,0.25545811840435917,0.3988510614659735,0.20861092800332975,COMPLETE
18,0.4743101807802093,2025-10-30 05:19:26.603639,2025-10-30 07:00:54.099961,0 days 01:41:27.496322,-0.5678609649318727,1.603991045925588,0.6586101590845019,1.9235238755521413,0.5298560626316265,0.15148762448778125,0.09845380207893435,0.101270332228583,0.43923648925460324,0.030628598825876763,0.14792828869932656,0.1054630516713741,0.18804691798025752,0.18833641660980127,COMPLETE
