number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_a_7,params_f_0,params_f_1,params_f_2,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_high_0,params_high_1,params_high_2,params_high_3,params_high_4,params_high_5,params_high_6,params_high_7,params_low_0,params_low_1,params_low_2,params_low_3,params_low_4,params_low_5,params_low_6,params_low_7,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,params_u_dc_7,state
0,0.5803996194100857,2025-11-04 09:03:51.762372,2025-11-04 10:06:07.586851,0 days 01:02:15.824479,-0.330926226743804,-1.9137664975787771,-4.3653149909880025,2.7499863977495735,-1.319949763751691,-2.7009685118903826,-3.9668579605714616,-4.821078978115118,2106.424292706487,2959.0825939733513,4654.561161280496,7212.353241038361,8822.578016464442,11140.005383865868,13205.00549414179,14750.702016677877,3118,4065,6223,8315,9506,11148,13224,15631,472,2612,4214,6507,7870,9785,11108,13397,0.04638553349297867,0.7366438236133204,0.35545303962204167,0.20262656248478836,0.04610273970588994,0.47321897517858574,0.8036053545881586,0.6380274182224573,COMPLETE
1,0.2916270218839201,2025-11-04 10:22:33.345131,2025-11-04 11:44:34.396508,0 days 01:22:01.051377,4.21776347678383,-0.4880719017559567,-1.2226936003245603,-4.734760765433903,1.5222443660541352,-1.4118758430275093,4.1084511262451,0.12033161040509999,1605.3744190966102,2881.794245514308,4892.936150469764,7599.229092635284,8069.927747048484,11963.232752676857,12173.02083729789,14606.128783111386,2543,4809,6417,8484,10154,11739,13418,16352,280,2469,4482,5954,7939,10102,11514,13026,0.4963137157549239,0.2980955779220609,0.43753218390813164,0.3300141205705298,0.7982659948948937,0.5367416942788248,0.8506603626648932,0.31247946872353033,COMPLETE
2,0.39295908658420553,2025-11-04 11:44:35.058515,2025-11-04 12:57:39.801190,0 days 01:13:04.742675,-1.9502549152271555,-0.8711388043330945,-1.0586667261894442,-2.093198133051124,-1.1022914537321116,-3.337925295261932,1.498148013731723,-0.6504560918335143,1778.347015230754,3836.74777303295,5835.777486502532,6501.806013316589,9101.270297614616,10830.096990382837,13270.45878549963,15575.0060961635,2466,4736,6113,8157,10105,12047,12985,16359,224,2288,4508,6123,8408,9284,11473,13161,0.7214169477115862,0.36801725881504294,0.7417291920567964,0.6016333513299056,0.8941476513084383,0.36812060031703725,0.6076687692681251,0.06583643717367048,COMPLETE
3,0.47906755470980017,2025-11-04 12:57:40.284137,2025-11-04 14:07:58.253086,0 days 01:10:17.968949,-0.13693827568599204,3.6496982508768223,4.326562299387934,4.7005998942396605,-4.336397374751594,3.266157086615987,2.578053997734707,-2.925624205685986,1220.1314726910243,3663.1541940319107,5182.141256845069,7187.261979990471,9455.31386792224,11836.410661680771,12767.506731025986,14553.554389489605,2666,4430,6169,7843,9370,11893,12972,15611,188,2335,4265,5753,8389,10015,11683,13521,0.44972528217624436,0.6793823893126812,0.7955328599004902,0.1938292556319808,0.03726385254039802,0.33376341101430085,0.9763449336593918,0.6537536716760809,COMPLETE
4,0.3434823977164605,2025-11-04 14:07:58.704664,2025-11-04 15:16:20.517742,0 days 01:08:21.813078,-4.50060995032941,-4.309265400796923,3.008948395034766,4.636029578693217,1.734918430964366,-2.049862080929751,1.5513083899464375,1.5463472147608028,928.0280070531683,3106.1319855260017,4577.476058350899,7138.855667145456,8776.601160507795,11709.151709163194,12632.166358176522,15773.835186027956,2465,4904,6056,7940,9844,11723,13540,15521,277,2257,4809,5905,7726,9756,11829,13344,0.8369469079088063,0.7766149112006475,0.3572224857807467,0.3746395355288056,0.044844995651694836,0.6124306302300818,0.9746228491059779,0.5188797365998232,COMPLETE
5,0.4904852521408183,2025-11-04 15:16:20.985118,2025-11-04 16:21:54.262987,0 days 01:05:33.277869,-4.92803023495857,4.181877466386851,2.033792495882359,3.892617380006314,0.5934294856873379,-0.5931354564681088,4.217743105756828,3.111083558584765,1470.6407679116512,4328.461128346069,5294.962744081326,7886.781722020691,8213.84656739943,10459.94239063284,13343.659624247415,15497.669738731307,2813,4743,5797,8059,9928,11319,13222,16083,18,2269,4337,5898,8168,9676,11366,13241,0.06588488639204827,0.611047544962779,0.9452036240904423,0.5918404590441505,0.5094544929324306,0.16276185015333086,0.4664831456646045,0.22180199504416565,COMPLETE
6,0.3786869647954329,2025-11-04 16:21:54.674603,2025-11-04 17:23:41.513576,0 days 01:01:46.838973,1.6462350148559572,0.023232159432245325,0.961103611170536,-3.670067426333067,-3.7201043463090278,-4.35669309206507,4.469674225830376,-1.376493090375229,1605.3477481457214,4284.74768846169,5149.9926610715565,6826.8627456669265,9364.728223297783,11021.008931004466,13036.006855868669,15484.6805620422,2386,4583,6674,8331,9916,11706,13810,16399,374,2863,4624,6037,7606,9875,11549,13424,0.5842797898232819,0.013988491122001845,0.6507925921608934,0.28137136682376657,0.3313541689580193,0.23624936116722928,0.05245933352383761,0.8831455447996575,COMPLETE
7,0.4329210275927688,2025-11-04 17:23:41.781959,2025-11-04 18:24:47.634782,0 days 01:01:05.852823,2.985753370750418,3.42099519267569,-3.4017177195299353,3.4627274412199647,-1.807054316835155,3.8034106023773226,2.251037944674927,1.3119153718295635,677.3349742023615,4030.1910598675076,4946.817748977243,7334.2112870424935,9242.054704011867,11852.716501548688,13896.477339093713,15399.408588135635,2567,4129,6701,8430,9769,11884,13504,15767,81,3140,4423,6206,7749,9869,11736,13677,0.8859545899123187,0.22960297881834732,0.47231303915586664,0.7274281159034623,0.816790310539797,0.14984042138954115,0.22852050067389204,0.09097664701884177,COMPLETE
8,0.3472882968601332,2025-11-04 18:24:47.882477,2025-11-04 19:26:10.843483,0 days 01:01:22.961006,2.6889471869770407,-3.3062078736423537,-0.4856479239238576,-3.052942701863066,-4.630141592041198,-2.2219153787946597,3.4045569865997862,-4.455101219372902,802.473975111693,2607.2917786418434,4940.831784968906,6237.328384659162,8518.238986678763,11427.08932890216,12338.737656658739,14421.079916515851,2243,4888,6305,8039,9481,11394,13198,16110,277,2239,4037,6238,7501,9994,11610,13438,0.6346170473577045,0.6075123499329007,0.48030358776843934,0.7703176948359257,0.06952607112276224,0.7546737495627435,0.474919243388548,0.5345980109854175,COMPLETE
9,0.4100856327307326,2025-11-04 19:26:11.183034,2025-11-04 20:27:12.940285,0 days 01:01:01.757251,0.28067618430700314,-1.8863929092528418,3.2167354202689857,-0.5970972897572056,-2.0501209952912145,-2.0876367872254944,-0.2272046192773569,0.40100791113013123,955.8538722953026,2693.07631049872,4847.951326375084,7359.178213939298,8353.752188646824,10667.791802406171,12383.902091576292,14244.421161156362,2525,4915,5981,7886,9766,11335,13678,15775,283,2817,4926,6388,7678,9995,11903,13676,0.40900859125734906,0.9845733592355659,0.8606780033677162,0.1454685901432952,0.09726627153687449,0.04604987022648592,0.2479272150246393,0.296012875437406,COMPLETE
