number,value,datetime_start,datetime_complete,duration,params_a,params_lambda,params_mu,params_new_fs,params_u_dc,state
0,,2025-11-18 09:48:58.513512,2025-11-18 09:49:07.523136,0 days 00:00:09.009624,-0.7584502918614167,0.0033825124568671048,4.418276997012849,14612,0.9972032071825871,FAIL
1,,2025-11-18 09:50:18.361751,2025-11-18 09:59:00.560736,0 days 00:08:42.198985,0.05218424676667377,0.0281116513523701,2.263787151185483,8742,0.5714132610276754,FAIL
2,0.15889628924833493,2025-11-18 10:07:43.550280,2025-11-18 10:16:39.583050,0 days 00:08:56.032770,-2.3965309828798476,21320.96071047974,1.6856844749674327,17183,0.7961563108802202,COMPLETE
3,0.13035204567078973,2025-11-18 10:16:39.829265,2025-11-18 10:28:12.845910,0 days 00:11:33.016645,-1.200643308317454,211.06550895485213,3.8426523147633955,26923,0.5376221776936606,COMPLETE
4,0.12131303520456709,2025-11-18 10:28:13.080969,2025-11-18 10:41:00.272498,0 days 00:12:47.191529,-2.940621895806012,21.865729383995557,1.9367385079163606,29834,0.6797167211625463,COMPLETE
5,0.10799238820171266,2025-11-18 10:41:00.558912,2025-11-18 10:53:58.380615,0 days 00:12:57.821703,1.9831231144268102,0.0676518368548925,4.251170262036758,29860,0.9383926078779355,COMPLETE
6,0.21883920076117983,2025-11-18 10:53:58.644979,2025-11-18 11:02:27.051109,0 days 00:08:28.406130,1.332488449420138,36162.553738570154,1.7909096761207426,12775,0.4151803700355846,COMPLETE
7,0.1489058039961941,2025-11-18 11:02:27.367648,2025-11-18 11:10:52.220202,0 days 00:08:24.852554,-1.774976330345396,587197.8466937735,2.1021038350756744,10812,0.9619568182576741,COMPLETE
8,0.2402473834443387,2025-11-18 11:10:52.480891,2025-11-18 11:18:51.759427,0 days 00:07:59.278536,2.2430292323736287,1.12556839925079,2.772006991008312,997,0.8235972658241826,COMPLETE
9,0.12131303520456709,2025-11-18 11:18:52.060694,2025-11-18 11:31:35.777327,0 days 00:12:43.716633,0.29530611853450717,149.29584859512363,4.900606402712683,28656,0.09825614270116001,COMPLETE
10,0.17126546146527116,2025-11-18 11:31:36.024030,2025-11-18 11:39:36.716045,0 days 00:08:00.692015,0.2633977914551915,0.00018225844970281768,2.2245355798901922,1804,0.8890005203728503,COMPLETE
11,0.09752616555661275,2025-11-18 11:39:37.017934,2025-11-18 11:49:34.204903,0 days 00:09:57.186969,-0.17261785711226452,4.052218442708612e-05,4.360726008721616,21689,0.8406964307093667,COMPLETE
12,0.18315889628924834,2025-11-18 11:49:34.439453,2025-11-18 11:57:29.119772,0 days 00:07:54.680319,2.793882681302206,0.06689054172386809,0.03724663185880184,639,0.29783128314569207,COMPLETE
13,0.11941008563273073,2025-11-18 11:57:29.365840,2025-11-18 12:05:28.577117,0 days 00:07:59.211277,1.5752871673044782,0.030755427767117868,3.2446812129261913,8489,0.36042190337341773,COMPLETE
